id,CT,MinHar3
443527368,+24*31-3*17-4*21,1.371741197298538
736835281,+4*24/21-6*23/31,1.3670254512312203
1585442296,-8*14*24*30*32/2,1.333035272924641
443527765,+24*31-3*17-22*31,1.3309490722866677
644675254,+2*24/12-23*28/1,1.3236786291172136
1525195429,+8*8*19*24*28/5,1.3183217545293555
644676644,+2*24/12-27*32/1,1.3164919383453444
1220217183,+28*29/32-1*33/5,1.3150528208204126
588168937,+1*20/14-10*19/0,1.3148699683748353
602631028,+1*30/14-10*25/8,1.3148699683748353
142127849,+20-0-7-17-22-22,1.312339522048759
1576971675,-6*6*8*14*30*32,1.3119693377734691
634657686,+2*17/21+26*27/21,1.3098659481861894
575865982,+1*12/25-6*22/27,1.3074954949914963
913634800,+9*20*31-9*12*25,1.3054318106142138
194303491,+1*4+11*24-10*19,1.3054307947494286
444369753,+25*25+25*30-12*25,1.3045452021323858
587571860,+1*20*31-2*12*25,1.3035881548239157
416902017,+17*31-4*23-24*27,1.3035392921415716
417010217,+17*31-21*27-24*28,1.3007292540345372
597023601,+1*26/14-1*10/24,1.3000847438217171
679752794,+3*15/31+16*17/21,1.2995231422971367
682409095,+3*17/22+25*30/10,1.2982590062055028
631960872,+2*15/31+17*18/21,1.297596087835431
1600200649,-17*20*31*32/1/10,1.2973251751798995
1600426960,-17*24*30*31*32/1,1.2973251751798995
1527200678,+8*18*22*28/5/14,1.2963583161704018
567824222,+1*8*10-12*12*25,1.2961747987540368
816446676,+6*24*26-14*14*25,1.2936829930237266
1525849354,+8*10*28*33/16/21,1.2920791735076955
194407618,+1*4+17*23-10*19,1.2919967362944615
1147301198,+20*24/18-10*12/25,1.2915652008018996
1148199790,+20*25/18-12*25/16,1.2914578732842974
429174259,+20*25-3*24-12*25,1.2914578732842974
1412697683,-8*32/34-16*21/17,1.2913351556898396
442213046,+24*25-17*19-30*33,1.29025379478775
1550933273,-0*16*26*32/29/34,1.289485793166916
1551187666,-0*18*30*32/29/34,1.289485793166916
1107207915,+17*28/21+32*32/5,1.2894799347375052
717307801,+4*11*23-8*17*32,1.289142108794417
1519676232,+6*10*17*26*31/15,1.2888697124856483
343754779,+9*15+24*31-2*4,1.2888481868133124
