id,CT,HarNgn2
884750354,+8*22/12-3*9/7,1.656644652188661
14114263,+0*1*2*27/30,1.6481645029603438
884752236,+8*22/12-5*5/7,1.6333620121551404
645270498,+2*24/29+19*24/11,1.6332852007638148
505504058,+0*3/29+19*24/11,1.6308909900870874
1543142162,+20*21*24*24/2/11,1.6255556532308737
1510832432,+4*6*21*24/11/13,1.6250197181985733
851246430,+7*22/27-3*20/27,1.6239499924700629
1489571354,+0*6*12*24/11/13,1.6232405661375555
1541982295,+18*19*24*30/11/22,1.6222628281689684
1542534920,+19*19*24*33/11/22,1.6222628281689684
1540429538,+16*18*24*33/11/22,1.6222628281689684
820647370,+6*27/11-2*14/24,1.6213902042059036
711882217,+4*7/19-3*21/16,1.621382401588321
711882551,+4*7/19-3*31/20,1.6200870161823724
711878350,+4*7/19-0*3/14,1.6200870161823724
1540522135,+16*19*24*26/11/22,1.619578886398097
804200319,+6*14/30+19*24/11,1.616982257557121
682396887,+3*17/22+6*21/33,1.6165615182087831
1089227520,+16*27/29+19*24/11,1.612532867939833
1119138360,+18*24/11+18*27/29,1.612532867939833
1048287993,+14*25/29+19*24/11,1.612532867939833
1123221587,+18*28/29+19*24/11,1.612532867939833
1023204468,+13*22/29+19*24/11,1.612532867939833
503638130,+0*2/29+16*24/11,1.612532867939833
710652818,+4*6/29+19*24/11,1.612532867939833
998380949,+12*21/29+19*24/11,1.612532867939833
730941740,+4*20/10+10*21/11,1.612447463837668
1521144271,+6*18*24*24/11/14,1.6093327426277804
568443244,+1*8/7-3*6/27,1.6083693760844324
1290430540,-1*31/6-3*9/1,1.6078446885293447
1564811861,-3*6*6*24/21/32,1.606709805099508
1540423634,+16*18*24*25*30/11,1.606708715453434
1541978270,+18*19*24*25*33/11,1.606708715453434
1542528699,+19*19*24*25*30/11,1.606708715453434
1543577384,+21*22*24*28/11/13,1.606529911751297
1493945925,+1*2*14*19*27/30,1.606184476128531
1542614935,+19*20*24*24/11/27,1.6049369623106031
731285813,+4*20/19-3*9/11,1.6037948644501243
1541977738,+18*19*24*24/11/16,1.6026221804859409
2092118,+19*24*24/11,1.6026221804859409
736471184,+4*24/11-8*10/11,1.6013581652383737
617404919,+2*6/33+19*24/11,1.601287277152916
1486968937,+0*1*2*25/21/33,1.6011274461971317
1520889786,+6*16*22*24/11/13,1.6003174061347862
1195228623,+24*31/21+29*34/5,1.5992708708438967
692678267,+3*24/29+16*24/11,1.5991035980937331
590897150,+1*22/7-0*3/27,1.5988571068773672
22407503,-2*3*9/8/11,1.597963980174918
1542462763,+18*31*33*33*33/21,1.595680814127013
1089760971,+16*28/11-13*13/11,1.5953168160050315
1320722184,-3*9/7-5*14/8,1.5951420893073491
1540840380,+16*24*24*33/10/11,1.5950443187132517
1509427107,+3*24*24*24/11/12,1.5949851956348884
1492489567,+0*19*24*33/11/13,1.5944058469411564
261817835,+4*6-0*2-13*13,1.5943471703472942
1125977294,+18*31/33+24*28/11,1.593848574817578
558740888,+1*2/30-13*25/27,1.5938071062181862
1493900020,+1*2*12*14*26*31,1.5936062527376502
1520912601,+6*16*24*33/11/30,1.5931700441475094
536297756,+0*21/33+1*24/11,1.5926846433927937
1542360289,+18*25*30*30*33/21,1.5922286362321685
503793380,+0*2/33+3*17/22,1.5921999853902824
1521556544,+6*24*24*26/10/11,1.591364289289538
1520906258,+6*16*24*24/11/20,1.591138326342206
639472336,+2*20/29+18*24/11,1.5901934786713492
14489920,+0*12*18*24/11,1.5901536629829611
1542295821,+18*24*24*30/11/26,1.5898808222870873
1486956489,+0*1*2*14*27/33,1.5892643975708558
1521243974,+6*19*24*27/11/13,1.5891166607453444
1521146586,+6*18*24*27/4/11,1.58883495195246
120900575,+14+22-1-2-3-13,1.5879562011512955
1085924306,+16*24/11-14*30/11,1.5879352086474607
1085922753,+16*24/11-12*26/11,1.5879352086474607
888560675,+8*25/18-3*9/7,1.587391767499629
885308564,+8*22/30-3*6/1,1.5872321422938662
1513727771,+4*20*31*33/14/21,1.5870144904258583
20546991,+19*21*24/11/14,1.584812536369387
1488401577,+0*3*18*24*33/11,1.5846611647011748
122498534,+14-2-3-10-13-21,1.5839655482117252
122496777,+14-2-3-5-13-24,1.5839561050124047
122499355,+14-2-3-13-17-25,1.5839561050124047
122499324,+14-2-3-13-15-31,1.5839561050124047
122253014,+14+33-2-3-13-30,1.5839561050124047
884757985,+8*22/12-11*20/7,1.583788930821856
1133938784,+19*24/18-9*10/11,1.583661612896988
1520129616,+6*12*16*24/11/14,1.5829654096906107
1493654687,+1*2*3*26*27/12,1.5829365549425465
801479569,+6*12/33+18*24/11,1.5825111724274488
639965333,+2*21/3+4*24/11,1.5824153463747197
736450750,+4*24/11+8*22/3,1.5824153463747197
1486963148,+0*1*2*19/18/33,1.5821222246504592
1797766,+0*1*2/33,1.5821222246504592
1544389160,+24*24*25*25/0/11,1.5817392415957248
711881658,+4*7/19-3*4/19,1.5815011775380423
1189298556,+24*24/11+29*33/34,1.5813567381162212
1119147042,+18*24/11-3*20/11,1.580794933910703
1513663173,+4*20*21*24*30/11,1.580661947390902
1492111099,+0*16*20*24/11/13,1.579755970553741
884980415,+8*22/19-3*13/7,1.579740233757839
313628246,+7*8-3*8-10*16,1.579740233757839
1189301758,+24*24/11-2*13/27,1.579427803353481
711881844,+4*7/19-3*10/6,1.578792608980697
569066722,+1*8/24+3*17/22,1.5782766997067126
558710841,+1*2/30+3*11/21,1.57786147085585
1044715148,+14*22/10+19*24/11,1.5777334300898265
1043191646,+14*20/33+19*24/11,1.5777334300898265
1001162400,+12*24/10+19*24/11,1.5777334300898265
1119139203,+18*24/11+20*22/10,1.5777334300898265
638775248,+2*20/10+19*24/11,1.5777334300898265
510867959,+0*6/26+19*24/11,1.5777334300898265
521547075,+0*12/30+19*24/11,1.5777334300898265
904568925,+9*12/33+19*24/11,1.5777334300898265
906942791,+9*14/26+19*24/11,1.5777334300898265
914574834,+9*20/30+19*24/11,1.5777334300898265
833873538,+7*9/29+19*24/11,1.5777334300898265
818124644,+6*25/10+19*24/11,1.5777334300898265
1001208772,+12*24/11-13*14/11,1.5768064913368025
898056239,+8*33/30-13*13/1,1.5764568261962546
1521555727,+6*24*24*25/11/27,1.576132972846751
