CT,GeoMax,HarMax,CtyMax,ProMax,Value,ValGeo,GeoLim,ValHar,HarLim,GeoRank,HarRank,Nguong1,GeoNgn1,HarNgn1,ProNgn1,CtyNgn1,Values_Ngn1,ValGeoNgn2,GeoNgn2,ValHarNgn2,HarNgn2,ProNgn2,CtyNgn2,Values_Ngn2,Nguong_mm3,MinGeo3,MinHar3,ProNgn_mm3,CtyNgn_mm3,Values_Ngn_mm3,ValGeoNgn3,GeoNgn3,ValHarNgn3,HarNgn3,ProNgn3,CtyNgn3,Values_Ngn3,Slope_avg,Slope_wgt_avg
+8*10/3-9*10/3,0.9640302125428806,0.8957182824503969,PDN,1.186111111111111,14.776702783089235,28.262157321598018,1.1899201424273194,28.262157321598018,1.1799012061855543,0.49030095020271686,0.4118770545490952,28.262157321598018,1.1899201424273194,1.1799012061855543,1.06,,[],0.46081074738864114,1.7635563114346093,0.46081074738864114,1.6765044385539483,1.030674846625767,HTI,[10.71087416],28.262157321598018,1.1339463078925747,1.1289222547397888,1.06,,[],0.11507619571561632,1.2170474869540426,0.82521981749529,1.1681183569624,1.030674846625767,HTI,[10.71087416],1.1222037154848807,1.1730695348101827
+2*8*10*31/3/14/33,0.8763478767760368,0.7533144315819422,CTI,1.901785714285714,0.6644522201368976,10.917935871298003,1.1012938428771988,10.917935871298003,1.0989279980417426,0.3756684527476333,0.20951369759572372,0.4473401058554116,1.182052004566974,1.1035810980056269,1.901785714285714,CTI,[0.66445222],0.2018979582015799,1.7635563114346093,0.2018979582015799,1.6765044385539483,1.06,,[],53.38743840493931,1.0837242215508305,1.06,1.06,,[],0.09863206440544237,1.4061159719302316,0.09863206440544237,1.3027315363844116,1.06,,[],1.0159512813952207,1.1496424697244898
+1*1*8*20/3/6/33,0.8919437680775001,0.7872202061596537,NVT,0.5897435897435898,10.048391805023767,17.341124078353587,1.0700735686505276,1394.348600845215,1.06,0.4150048369064742,0.19552515354787292,20.74704438440816,1.1550681521747377,1.0634539392430626,1.06,,[],0.5896379074766795,1.7514418471623625,0.5896379074766795,1.6609629658283178,0.9047619047619048,HAP,[0.64678204],1394.348600845215,1.0740690919576574,1.06,1.06,,[],0.3651056383815587,1.4950970844837908,0.3651056383815587,1.4417486725127482,1.06,,[],1.0715514222370253,0.7469602709767691
+6*21/30+10*17/22,0.6897956334188778,0.5941446101052253,VNA,0.5813953488372093,21.102411709237398,162.76098368282038,1.096953558161139,162.76098368282038,1.0775561407398193,0.18833897059676166,0.10103572190422962,162.76098368282038,1.182458176195221,1.1584981972913349,1.06,,[],11.45970674365714,1.7165223098747913,11.45970674365714,1.6320784878654933,1.06,,[],162.76098368282038,1.06,1.06,1.06,,[],4.193977645660849,1.4223650315188545,4.193977645660849,1.3349563353052458,0.6025641025641026,CLG,[19.25440911],0.870284315889736,1.109324369665304
+2*6*8*10/0/3/24,0.8032687846465252,0.7040324744983839,VHG,0.4537037037037037,25632.706989504568,7328272.895758316,1.06,7328272.895758316,1.06,0.3212220759874456,0.2084189089490582,925.1826890159367,1.179238452208989,1.1372407001449396,0.8606049615763318,VHG_GTT_AVF_DHA_CLG_HTI,"[25632.7069895  12406.19033321  6391.01525608  3848.0294288
  1987.30866748  1156.73589379]",925.1826890159367,1.6855660956862564,925.1826890159367,1.6304863173819852,0.6956475509645245,VHG_CLG_HTI,[25632.7069895   1987.30866748  1156.73589379],7328272.895758316,1.06,1.06,1.06,,[],401.4758897996581,1.3633047768361872,401.4758897996581,1.2737065998717463,1.030674846625767,HTI,[1156.73589379],0.8750342945518097,0.7633659438526379
+1*1*1*8*34/3/33,0.7856525255068049,0.7073824165577746,NVT,0.5897435897435898,0.04821431702803458,50.55683869955239,1.06,50.55683869955239,1.06,0.31771701167222427,0.1727589875227854,0.8492802406374486,1.1402765703404965,1.1170070594351402,1.06,,[],0.0027261525633537845,1.7259152249947367,0.0027261525633537845,1.6293241390591158,0.8704137392661984,HAP_PVT,[0.0100161 0.0056889],50.55683869955239,1.06,1.06,1.06,,[],9.303214229481013e-05,1.3760451627615755,9.303214229481013e-05,1.3208383525734697,1.03604531544087,HAP_PVT_DHA_PPC,[0.0100161  0.0056889  0.00075786 0.00031976],0.9848679127857076,0.49227584203992036
+1*4*22*24/3/11/34,3.660833336515859e-41,0.0,SMC,0.7578947368421053,8966.911110914089,8369.934362962698,1.06,8369.934362962698,1.06,0.20072954178187133,0.022989337922573825,8.34333511418369,1.3342522887018113,1.2297981566599767,0.9559707787527885,SMC_ASP_BHS_ITD_PVT_BT6_HAP,"[8966.91111091   58.9903422    39.55303006   32.8152831    19.14029485
   16.96561478   13.47890685]",6.5685714249263185,1.754428181590399,6.5685714249263185,1.625705434150296,1.524206349206349,ITD,[32.8152831],8369.934362962698,1.06,1.06,0.7578947368421053,SMC,[8966.91111091],14.93738498884524,1.4428652562953588,14.93738498884524,1.350269062810829,1.524206349206349,ITD,[32.8152831],0.5029527522150771,0.6984454192148513
+1*10*13*34/3/22/33,0.6415040919246543,0.5603524249447266,HTI,1.030674846625767,5.109996665270953,2900.4929606060673,1.06,2900.4929606060673,1.06,0.20882329952817694,0.09219545736687948,2900.4929606060673,1.0851127092109791,1.06,1.06,,[],0.3146766764769301,1.7176322306298248,0.3146766764769301,1.624001357490334,0.7657142857142857,FLC,[1.36937266],2900.4929606060673,1.06,1.06,1.06,,[],0.34945939785844593,1.284553321020637,0.34945939785844593,1.2411494358602355,1.06,,[],0.746400991405752,0.4544438130756201
+0*3*10*22*24/29/34,0.8042369968479183,0.7570921085668909,VMD,1.974226804123712,831211.1410609352,557765.0209807375,1.06,557765.0209807375,1.06,0.34463935476557805,0.16935613824742923,557765.0209807375,1.06,1.06,1.974226804123712,VMD,[831211.14106094],68.84692691783526,1.7706639935653476,68.84692691783526,1.6219010367904234,1.06,,[],557765.0209807375,1.06,1.06,1.974226804123712,VMD,[831211.14106094],15.414904027467035,1.2675823366406054,15.414904027467035,1.2378284992241475,0.8705789473684211,PET,[48.33651036],0.8675405306673504,0.9431778985227876
+2*21*21*24/11/30,0.9979936545525661,0.8561938128896212,SMC,0.7578947368421053,68.09047502612032,0.3577598764130411,1.263782776251766,0.3577598764130411,1.2107414396719993,0.51992466335206,0.457590328983718,0.3577598764130411,1.2824475953284231,1.214008679536081,0.55421888053467,SMC_HAP_NHS,[68.09047503  3.58329346  1.55974848],0.3577598764130411,1.7624082092164526,0.3577598764130411,1.620103638688103,1.06,,[],0.9168510101831604,1.1108597571752128,1.086297611414309,0.55421888053467,SMC_HAP_NHS,[68.09047503  3.58329346  1.55974848],0.1273302217717943,1.3271469059139942,0.1273302217717943,1.284796798454284,1.524206349206349,ITD,[0.17525867],1.2797112787881026,1.1536902092845955
